month,item_name,item_category,product_view_events,add_to_cart_events,purchase_events,item_revenue,view_to_cart_rate
2020-11,YouTube 25 oz Gear Cap Bottle Black,Drinkware,42,6,13,291.0,14.29
2020-11,Google Emoji Sticker Pack,Accessories,1,0,28,287.0,0.0
2020-11,Google Land & Sea Tote Bag,Bags,65,5,13,284.0,7.69
2020-11,Google Laptop and Cell Phone Stickers,Google,7,2,56,282.0,28.57
2020-11,Google Campus Bike Bottle,Lifestyle,3,0,11,274.0,0.0
2020-11,Google Land & Sea Cotton Cap,,4,0,1,272.0,0.0
2020-11,Google Mural Bottle,Drinkware,5,0,10,267.0,0.0
2020-11,Google 16 oz Tumbler Blue,Drinkware,26,2,12,262.0,7.69
2020-11,Google Austin Campus Zip Hoodie,Campus Collection,18,3,8,256.0,16.67
2020-11,Google Incognito Messenger Bag,Bags,1,0,4,255.0,0.0
2020-11,Google Flat Front Bag Grey,Bags,4,0,9,252.0,0.0
2020-11,Daddy Works at Google Book,Small Goods,118,2,15,248.0,1.69
2020-11,Google Toddler FC Tee Charcoal,Apparel,10,0,12,245.0,0.0
2020-11,YouTube Play Mug,Lifestyle,16,0,20,237.0,0.0
2020-11,#IamRemarkable Ladies T-Shirt,Apparel,12,1,22,228.0,8.33
2020-11,Google Chicago Campus Zip Hoodie,Campus Collection,22,4,6,225.0,18.18
2020-11,Google Incognito Laptop Organizer,Bags,81,0,4,224.0,0.0
2020-11,Google SF Campus Tote,Campus Collection,14,2,18,222.0,14.29
2020-11,Google Austin Campus Mug,Campus Collection,32,5,27,222.0,15.63
2020-11,Google Sherpa Zip Hoodie Charcoal,,11,0,2,220.0,0.0
2020-11,Stan and Friends Toddler Tee Green,Apparel,11,0,15,218.0,0.0
2020-11,Google Youth Hero Tee Grey,Apparel,22,1,10,215.0,4.55
2020-11,Android Pocket Tee Green,Apparel,8,1,8,214.0,12.5
2020-11,Google Infant Hero Onesie Grey,Apparel,5,0,13,210.0,0.0
2020-11,Google Youth Hero Tee Maroon,Apparel,15,0,10,205.0,0.0
2020-11,Google Pen White,Office,1,0,37,205.0,0.0
2020-11,Google Beekeepers Tee Mint,Apparel,10,0,14,204.0,0.0
2020-11,Google Premium Sunglasses,Accessories,1,0,14,204.0,0.0
2020-11,Stan and Friends Onesie Green,Apparel,9,0,13,196.0,0.0
2020-11,Supernatural Paper Tote,Bags,34,4,8,194.0,11.76
2020-11,Google Seaport Tote,New,29,2,4,192.0,6.9
2020-11,Google Land & Sea French Terry Sweatshirt,Shop by Brand,1,0,4,187.0,0.0
2020-11,Google Sunnyvale Campus Unisex Tee,Campus Collection,38,11,13,186.0,28.95
2020-11,Google Mesh Bag Blue,Bags,1,0,16,179.0,0.0
2020-11,Supernatural Paper Backpack,Bags,77,1,3,174.0,1.3
2020-11,Google Chicago Campus Mug,Campus Collection,15,5,20,174.0,33.33
2020-11,Google Youth Badge Tee Navy,Apparel,10,4,12,172.0,40.0
2020-11,Google Women's Pride Eco-Tee Black,Apparel,2,0,12,169.0,0.0
2020-11,Google SF Campus Bottle,Campus Collection,14,1,14,163.0,7.14
2020-11,#IamRemarkable Unisex Hoodie,Apparel,15,0,6,162.0,0.0
2020-11,Google Cambridge Campus Mug,Campus Collection,2,0,18,154.0,0.0
2020-11,Google Beekeepers Onesie Pink,Apparel,10,0,10,154.0,0.0
2020-11,Google Austin Campus Bottle,Campus Collection,15,0,8,150.0,0.0
2020-11,Google Phone Stand Bamboo,Accessories,2,0,29,150.0,0.0
2020-11,Google Mural Sticky Note Pad,Office,2,0,13,149.0,0.0
2020-11,Google Soft Modal Scarf,Apparel,17,0,4,144.0,0.0
2020-11,Google Sunnyvale Campus Ladies Tee,Campus Collection,10,1,10,140.0,10.0
2020-11,Google Badge Heavyweight Pullover Black,,20,1,1,139.0,5.0
2020-11,Flamingo and Friends Tee Blue,Apparel,14,0,8,128.0,0.0
2020-11,Snowflake Android Cardboard Sculpture,Accessories,1,0,12,128.0,0.0
2020-11,Super G Unisex Joggers,Apparel,26,4,4,127.0,15.38
2020-11,Google Chicago Campus Bottle,Campus Collection,11,3,4,126.0,27.27
2020-11,Mommy Works at Google Book,Small Goods,99,2,7,120.0,2.02
2020-11,Google Sunnyvale Campus Bottle,Campus Collection,16,0,9,119.0,0.0
2020-11,Google NYC Campus Ladies Tee,Campus Collection,23,0,7,116.0,0.0
2020-11,Google Boulder Campus Mug,Campus Collection,13,3,14,116.0,23.08
2020-11,Google Incognito Dopp Kit V2,Bags,147,3,3,114.0,2.04
2020-11,Google Toddler Hero Tee Olive,Apparel,7,0,6,114.0,0.0
2020-11,Google Seattle Campus Mug,Campus Collection,18,3,13,113.0,16.67
2020-11,Google Chicago Campus Unisex Tee,Campus Collection,25,4,8,112.0,16.0
2020-11,Android Pocket Youth Tee Navy,Apparel,3,0,4,110.0,0.0
2020-11,Google Toddler Hero Tee Black,Apparel,12,3,8,108.0,25.0
2020-11,Google Leather Strap Hat Black,,23,1,3,105.0,4.35
2020-11,Google Mountain View Campus Ladies Tee,Campus Collection,1,1,7,102.0,100.0
2020-11,Gift Card - $25.00,,2,0,1,100.0,0.0
2020-11,Google Zip Hoodie F/C,,20,0,1,96.0,0.0
2020-11,Google LA Campus Mug,Campus Collection,25,6,12,95.0,24.0
2020-11,Google Toddler Tee White,Apparel,17,0,5,95.0,0.0
2020-11,Google Youth Badge Tee Olive,Apparel,8,1,7,91.0,12.5
2020-11,Android Iconic Crewneck Sweatshirt,,7,0,1,88.0,0.0
2020-11,#IamRemarkable Journal,Stationery,29,2,14,88.0,6.9
2020-11,Google Emoji Magnet Set,Small Goods,19,0,8,88.0,0.0
2020-11,Google Mountain View Campus Unisex Tee,Campus Collection,67,11,4,88.0,16.42
2020-11,Stan and Friends Youth Tee Green,Apparel,9,1,6,88.0,11.11
2020-11,Google Mural Tote,Bags,33,1,6,84.0,3.03
2020-11,Google Chicago Campus Ladies Tee,Campus Collection,7,2,4,84.0,28.57
2020-11,Google Campus Bike Eco Tee Navy,,7,1,2,80.0,14.29
2020-11,Google Land & Sea Women's Eco Tee,Apparel,11,0,4,80.0,0.0
2020-11,Google Women's Softshell Moss,Apparel,14,0,1,79.0,0.0
2020-11,Google Laptop Sleeve Charcoal,Accessories,1,0,4,72.0,0.0
2020-11,Google Cork Key Ring,Accessories,1,0,6,72.0,0.0
2020-11,Google Tudes Thermal Bottle,Drinkware,17,0,2,72.0,0.0
2020-11,Android Pocket Youth Tee Green,Apparel,4,0,3,70.0,0.0
2020-11,Google NYC Campus Unisex Tee,Campus Collection,70,14,5,70.0,20.0
2020-11,Google Split Seam Tee Olive,Apparel,27,1,3,68.0,3.7
2020-11,Maze Pen,Office,2,0,21,64.0,0.0
2020-11,Google Color Block Notebook,Stationery,9,2,5,64.0,22.22
2020-11,Google Sunnyvale Campus Tote,Campus Collection,13,1,7,61.0,7.69
2020-11,Google 24 oz Ring Bottle Red,Google,8,0,9,60.0,0.0
2020-11,Google Clear Pen 4-Pack,,5,1,6,60.0,20.0
2020-11,Google Recycled Pen Black,New,29,3,13,58.0,10.34
2020-11,Google Beekeepers Youth Tee Pink,Apparel,1,0,4,56.0,0.0
2020-11,Google Beekeepers Toddler Tee Pink,Apparel,4,1,4,56.0,25.0
2020-11,Noogler Android Figure,,26,1,2,52.0,3.85
2020-11,Google Pen Red,Stationery,10,1,6,49.0,10.0
2020-11,Google Women's Discovery Lt. Rain Shell,Apparel,4,0,1,49.0,0.0
2020-11,Google Mural Bottle,,15,1,1,48.0,6.67
2020-11,Google Navy Speckled Tee,,1,0,1,48.0,0.0
2020-11,Google LA Campus Bottle,Campus Collection,13,1,4,47.0,7.69
2020-11,Google Pen Neon Coral,Stationery,16,1,14,46.0,6.25
2020-11,Google Blue Kids Sunglasses,Accessories,1,0,7,46.0,0.0
2020-11,Google Cambridge Campus Ladies Tee,Campus Collection,1,0,3,46.0,0.0
2020-11,Supernatural Paper Lunch Sack,Bags,62,1,2,43.0,1.61
2020-11,YouTube Play Mug,,15,2,2,42.0,13.33
2020-11,Google Mural Sticker Sheet,Small Goods,20,1,16,42.0,5.0
2020-11,Google Camp Mug Gray,,3,1,2,42.0,33.33
2020-11,Google Pen Bright Blue,Stationery,14,4,14,41.0,28.57
2020-11,Google Youth FC Tee Charcoal,,3,3,1,40.0,100.0
2020-11,Google Toddler Hero Tee Olive,,2,0,1,38.0,0.0
2020-11,Google LA Campus Tote,Campus Collection,8,1,6,38.0,12.5
2020-11,Google LA Campus Sticker,Campus Collection,8,2,12,37.0,25.0
2020-11,Google Tee Red,,8,3,1,35.0,37.5
2020-11,Google Kirkland Campus Mug,Campus Collection,14,1,5,35.0,7.14
2020-11,Google Pride Sticker,Shop by Brand,1,0,23,35.0,0.0
2020-11,Android Pocket Onesie Navy,,30,17,1,35.0,56.67
2020-11,Google Pen Lilac,Stationery,23,1,15,35.0,4.35
2020-11,Google Austin Campus Tote,Campus Collection,6,1,4,34.0,16.67
2020-11,Google SF Campus Mug,Campus Collection,28,0,4,34.0,0.0
2020-11,Google Boulder Campus Bottle,Campus Collection,2,1,3,33.0,50.0
2020-11,Google LA Campus Mug,,2,0,2,33.0,0.0
2020-11,Google Seattle Campus Sticker,Campus Collection,7,3,11,32.0,42.86
2020-11,Google Tee Mint Green,Apparel,7,0,2,32.0,0.0
2020-11,Google Youth F/C Pullover Hoodie,Apparel,32,0,1,32.0,0.0
2020-11,Google Keychain,,1,1,1,32.0,100.0
2020-11,Google Frisbee,Shop by Brand,2,0,9,31.0,0.0
2020-11,Google Premium Sunglasses,,4,0,1,28.0,0.0
2020-11,Google Austin Campus Ladies Tee,Campus Collection,3,0,2,28.0,0.0
2020-11,Google Pen Grass Green,Stationery,7,0,8,28.0,0.0
2020-11,Google Small Cable Organizer Blue,Accessories,1,0,4,28.0,0.0
2020-11,Stan and Friends Tee Green,,8,1,1,28.0,12.5
2020-11,Google Leather Strap Hat Blue,,27,6,1,27.0,22.22
2020-11,Google Crew Combed Cotton Sock,,5,0,1,27.0,0.0
2020-11,Android Iconic Hat Green,,5,1,1,26.0,20.0
2020-11,Google Boulder Campus Sticker,Campus Collection,8,3,5,25.0,37.5
2020-11,Google Tudes Recycled Tee,Apparel,50,2,1,24.0,4.0
2020-11,Google Heathered Pom Beanie,,5,1,1,24.0,20.0
2020-11,Google Recycled Pen Green,New,13,0,5,24.0,0.0
2020-11,Android Jotter Task Pad,Shop by Brand,1,2,7,23.0,200.0
2020-11,#IamRemarkable Tote,Bags,19,0,3,22.0,0.0
2020-11,Google Bellevue Campus Sticker,Campus Collection,4,0,2,22.0,0.0
2020-11,Google Infant Charcoal Onesie,,41,30,1,20.0,73.17
2020-11,Google NYC Campus Mug,,10,1,1,20.0,10.0
2020-11,Google Black Cork Journal,,3,0,1,19.0,0.0
